Country,City,Accent City,Region,Latitude,Longitude
kh,khemarak phoumin,Khemarak Phoumin,08,11.6175,102.9805556
zr,liese,Liese,09,0.8833333,23.6666667
dk,kaasby,Kaasby,02,55.2166667,14.7333333
ru,vasilyevskiy,Vasilyevskiy,85,59.1833333,39.35
tr,bayatviran,Bayatviran,66,39.55,35.0666667
pt,miranda,Miranda,05,41.5,-6.2666667
bo,ceferino,Ceferino,08,-17.9833333,-63.2166667
cz,tecovice,Tecovice,90,49.2166667,17.5833333
us,albertville,Albertville,WI,44.9600000,-91.6002778
pl,ulina mala,Ulina Mala,39,50.3166667,19.9166667
pl,medien,Medien,47,54.1166667,20.6
sb,ahia,Ahia,08,-9.4166667,161.25
co,la curva,La Curva,21,8.0625,-73.2113889
fr,l'abbaye-sous-plancy,L'Abbaye-sous-Plancy,A4,48.5666667,3.9333333
pk,zer tangi,Zer Tangi,01,33.8544444,70.3766667
bg,koprukoi,Köprüköi,61,43.1333333,27.0333333
hn,yaruca,Yaruca,01,15.6,-86.6666667
ru,malyye otary,Malyye Otary,51,56.9427778,45.5588889
pk,shinmandai kili,Shinmandai Kili,02,31.2066667,69.2472222
se,ingelstorp,Ingelstorp,25,59.8833333,16.1
th,ban traweng,Ban Traweng,29,14.2833333,103.8833333
no,osestad,Osestad,19,58.1166667,7.2166667
pl,kletnia,Kletnia,51,51.15,19.5
sn,oubeme,Oubème,12,12.8491667,-16.1925
vn,tan an,Tan An,27,15.2166667,108.9333333
af,asia,Asia,09,34.6380556,64.6147222
tr,serefiye,Serefiye,16,40.4,29.75
cm,ngobajang,Ngóbajang,14,3.25,10.6166667
co,caserio caldera,Caserio Caldera,05,9.0702778,-74.4936111
pl,biernacice,Biernacice,48,50.5666667,17.2833333
cn,wuwuwei,Wuwuwei,30,22.8852778,115.34
ru,ramenye,Ramenye,25,54.5286111,35.3147222
co,concha,Concha,18,11.3,-74.15
ng,abu,Abu,16,6.7666667,2.9333333
th,ban khum,Ban Khum,41,19.5286111,100.3652778
pe,pallar alto,Pallar Alto,13,-7.7555556,-77.9066667
gb,bennington,Bennington,I9,51.8833333,-0.1
ml,ngirga,Ngirga,04,14.5166667,-2.8666667
zw,watsomba,Watsomba,04,-18.6833333,32.6333333
cm,songbong,Songbong,05,3.4666667,10.5
mz,garabga,Garabga,05,-20.3394444,34.5119444
iq,qarghatu,Qarghatu,13,35.7066667,44.1163889
us,midland,Midland,MI,43.6155556,-84.2472222
iq,hanah surah,Hanah Surah,05,35.1666667,45.95
pe,atinane,Atiñane,04,-15.78,-71.2830556
th,msyeta,Msyèta,01,18.2833333,97.65
us,wimberly estates,Wimberly Estates,FL,29.6905556,-82.3772222
de,hackenhausen,Hackenhausen,11,52.2166667,12.75
mx,macoacan,Macoacan,27,18.2416667,-93.0791667
lk,maha dunnabindunuwewa,Maha Dunnabindunuwewa,30,8.45,80.4833333
be,mol ter nete,Mol ter Nete,01,51.1666667,4.6333333
gn,kaleta,Kaléta,08,9.9541667,-13.755
us,hogan,Hogan,NV,40.7441667,-114.5980556
us,rosevine,Rosevine,TX,31.4202778,-93.9750000
cn,machiaho,Machiaho,15,35.3691667,104.6047222
pk,barabbas khel,Barabbas Khel,03,33.4572222,70.9916667
in,conjeeveram,Conjeeveram,25,12.8333333,79.7166667
us,cedarhurst,Cedarhurst,WA,47.4822222,-122.4780556
ua,khmelevka,Khmelëvka,23,49.2,29.7833333
pt,roncao de cima,Roncão de Cima,03,37.5666667,-7.6333333
ir,simrom,Simrom,28,31.4169444,51.5697222
ir,khommi,Khommi,30,35.3563889,57.9091667
lr,jobli (1),Jobli (1),11,6.35,-9.9166667
mg,vohitrindry,Vohitrindry,02,-22.3833333,47.85
us,rose city,Rose City,AR,34.7580556,-92.2075000
it,cassano delle murge,Cassano delle Murge,13,40.8833333,16.7666667
ru,kandalaksa,Kandalaksa,49,67.1572222,32.4119444
de,schlackendorf,Schlackendorf,12,53.9,12.5833333
mm,shwidu,Shwidu,02,21.15,93.85
eg,`izbat ash shaykh mawhub,`Izbat ash Shaykh Mawhub,13,25.7,28.75
af,qal`ah-ye sefid,Qal`ah-ye Sefid,27,34.4333333,68.4666667
cn,shuiyong,Shuiyong,11,26.3772222,109.6311111
eg,ash shihabiyah,Ash Shihabiyah,21,31.5819444,31.1469444
cl,lo valdivieso,Lo Valdivieso,12,-33.4666667,-70.6333333
ht,adieu au monde,Adieu au Monde,13,18.2333333,-72.2166667
ru,fedurniki,Fedurniki,83,56.2166667,42.2333333
fr,les hogues,Les Hogues,A7,49.4333333,1.4
ge,zemo-otrevi,Zemo-Otrevi,22,42.1866667,44.1180556
cn,tongchewan,Tongchewan,11,26.385,113.8019444
ci,little poro,Little Poro,76,4.7833333,-6.6333333
us,bournedale,Bournedale,MA,41.7752778,-70.5627778
cn,xiliannongchang,Xiliannongchang,31,19.5755556,109.5586111
bo,estancia santa rosa,Estancia Santa Rosa,02,-17.4166667,-66.2166667
cg,ngani,Ngani,08,-2.3761111,14.4519444
nz,dovedale,Dovedale,00,-41.3333333,172.9333333
us,williams fork,Williams Fork,VA,38.2700000,-78.5166667
sd,el hashaim,El Hashaim,34,14.1333333,29.6833333
be,buda,Buda,02,50.9166667,4.1833333
cn,baicao,Baicao,26,33.2955556,107.5880556
kp,yongcholli,Yongcholli,11,39.9022222,126.0741667
pk,karamar banda,Karamar Banda,03,35.25,71.9541667
bw,makome,Makome,08,-21.95,27.5666667
bg,makhala kesibireka,Makhala Kesibireka,58,42.3833333,23.7666667
ru,vargany,Vargany,51,56.0291667,45.4372222
de,dietschweiler,Dietschweiler,08,49.4333333,7.4333333
ir,haft gel,Haft Gel,15,31.4422222,49.5316667
zr,kisala,Kisala,10,-1.9833333,26.2666667
gr,drimotopos,Drimótopos,14,41.15,24.4833333
ca,duchess,Duchess,01,50.7333333,-111.9
es,caseras,Caseras,34,43.5333333,-6.05
